fips,state,cty,crop,unit,bchmk,bchmk_prc,act_yld,nat_prc,year
01005,Alabama,Barbour,Wheat,Bushel,50.67,5.5,57,8.83,2022
01009,Alabama,Blount,Corn,Bushel,167.38,3.7,110.94,6.54,2022
01009,Alabama,Blount,Grain Sorghum,Bushel,42.20,3.95,41.1,5.94,2022
01009,Alabama,Blount,Oats,Bushel,56.33,2.67,52,4.57,2022
01009,Alabama,Blount,Peanuts,Pound,3136.33,0.27,3424.04,0.27,2022
01009,Alabama,Blount,Seed Cotton,Pound,3245.83,0.37,3466.42,0.45,2022
01009,Alabama,Blount,Soybeans,Bushel,46.88,9.12,43.62,14.2,2022
01009,Alabama,Blount,Wheat,Bushel,72.30,5.5,73,8.83,2022
01011,Alabama,Bullock,Corn,Bushel,130.25,3.7,119.35,6.54,2022
01011,Alabama,Bullock,Grain Sorghum,Bushel,40.33,3.95,41.1,5.94,2022
01011,Alabama,Bullock,Oats,Bushel,50.33,2.67,65,4.57,2022
01011,Alabama,Bullock,Seed Cotton,Pound,2286.84,0.37,2498.38,0.45,2022
01011,Alabama,Bullock,Soybeans,Bushel,30.67,9.12,39.51,14.2,2022
01011,Alabama,Bullock,Wheat,Bushel,51.00,5.5,52,8.83,2022
01013,Alabama,Butler,Corn,Bushel,91.05,3.7,46.27,6.54,2022
01013,Alabama,Butler,Grain Sorghum,Bushel,46.33,3.95,41.1,5.94,2022
01013,Alabama,Butler,Peanuts,Pound,3311.24,0.27,3476,0.27,2022
01013,Alabama,Butler,Seed Cotton,Pound,1970.45,0.37,1561.99,0.45,2022
01013,Alabama,Butler,Soybeans,Bushel,33.14,9.12,40,14.2,2022
01013,Alabama,Butler,Wheat,Bushel,47.87,5.5,45,8.83,2022
01015,Alabama,Calhoun,Corn,Bushel,162.90,3.7,126.77,6.54,2022
01015,Alabama,Calhoun,Grain Sorghum,Bushel,42.33,3.95,41.1,5.94,2022
01015,Alabama,Calhoun,Oats,Bushel,55.00,2.67,49.5,4.57,2022
01015,Alabama,Calhoun,Seed Cotton,Pound,2730.14,0.37,2762.38,0.45,2022
01015,Alabama,Calhoun,Soybeans,Bushel,34.56,9.12,34.9,14.2,2022
01015,Alabama,Calhoun,Wheat,Bushel,60.14,5.5,65.99,8.83,2022
01017,Alabama,Chambers,Corn,Bushel,115.87,3.7,133,6.54,2022
01017,Alabama,Chambers,Grain Sorghum,Bushel,45.00,3.95,41.1,5.94,2022
01017,Alabama,Chambers,Oats,Bushel,50.07,2.67,47,4.57,2022
01017,Alabama,Chambers,Soybeans,Bushel,35.07,9.12,39.51,14.2,2022
01017,Alabama,Chambers,Sunflower Seed,Pound,1131.00,0.2,1750,0.28,2022
01017,Alabama,Chambers,Wheat,Bushel,55.00,5.5,72,8.83,2022
01019,Alabama,Cherokee,Corn,Bushel,131.46,3.7,135.17,6.54,2022
01019,Alabama,Cherokee,Grain Sorghum,Bushel,42.33,3.95,41.1,5.94,2022
01019,Alabama,Cherokee,Oats,Bushel,55.67,2.67,54,4.57,2022
01019,Alabama,Cherokee,Seed Cotton,Pound,2442.05,0.37,2680.27,0.45,2022
01019,Alabama,Cherokee,Soybeans,Bushel,32.56,9.12,41.67,14.2,2022
01019,Alabama,Cherokee,Wheat,Bushel,61.60,5.5,60,8.83,2022
01021,Alabama,Chilton,Corn,Bushel,116.08,3.7,92.44,6.54,2022
01021,Alabama,Chilton,Grain Sorghum,Bushel,41.67,3.95,41.1,5.94,2022
01021,Alabama,Chilton,Seed Cotton,Pound,2146.66,0.37,2146.01,0.45,2022
01021,Alabama,Chilton,Soybeans,Bushel,33.33,9.12,42,14.2,2022
01021,Alabama,Chilton,Wheat,Bushel,44.17,5.5,42,8.83,2022
01023,Alabama,Choctaw,Corn,Bushel,126.67,3.7,60,6.54,2022
01025,Alabama,Clarke,Corn,Bushel,126.67,3.7,120,6.54,2022
01025,Alabama,Clarke,Oats,Bushel,50.60,2.67,50,4.57,2022
01025,Alabama,Clarke,Wheat,Bushel,50.83,5.5,52,8.83,2022
01027,Alabama,Clay,Corn,Bushel,113.33,3.7,161,6.54,2022
01027,Alabama,Clay,Grain Sorghum,Bushel,43.00,3.95,41.1,5.94,2022
01027,Alabama,Clay,Seed Cotton,Pound,2329.61,0.37,2521.01,0.45,2022
01027,Alabama,Clay,Soybeans,Bushel,35.33,9.12,42,14.2,2022
01027,Alabama,Clay,Wheat,Bushel,57.00,5.5,71,8.83,2022
01029,Alabama,Cleburne,Corn,Bushel,125.33,3.7,132,6.54,2022
01029,Alabama,Cleburne,Grain Sorghum,Bushel,42.33,3.95,41.1,5.94,2022
01029,Alabama,Cleburne,Soybeans,Bushel,31.46,9.12,36,14.2,2022
01029,Alabama,Cleburne,Wheat,Bushel,63.00,5.5,66,8.83,2022
01031,Alabama,Coffee,Corn,Bushel,206.38,3.7,191.46,6.54,2022
01031,Alabama,Coffee,Corn,Bushel,98.75,3.7,93.8,6.54,2022
01031,Alabama,Coffee,Grain Sorghum,Bushel,32.40,3.95,41.1,5.94,2022
01031,Alabama,Coffee,Oats,Bushel,42.53,2.67,62,4.57,2022
01031,Alabama,Coffee,Soybeans,Bushel,39.77,9.12,35.4,14.2,2022
01031,Alabama,Coffee,Wheat,Bushel,35.93,5.5,50,8.83,2022
01033,Alabama,Colbert,Corn,Bushel,224.86,3.7,192.57,6.54,2022
01033,Alabama,Colbert,Corn,Bushel,176.98,3.7,88.29,6.54,2022
01033,Alabama,Colbert,Grain Sorghum,Bushel,52.33,3.95,41.1,5.94,2022
01033,Alabama,Colbert,Oats,Bushel,47.00,2.67,47,4.57,2022
01033,Alabama,Colbert,Seed Cotton,Pound,3724.82,0.37,2748,0.45,2022
01033,Alabama,Colbert,Seed Cotton,Pound,2432.76,0.37,2070,0.45,2022
01033,Alabama,Colbert,Sesame Seed,Pound,607.33,0.35,572,0.41,2022
01033,Alabama,Colbert,Soybeans,Bushel,42.27,9.12,38.94,14.2,2022
01033,Alabama,Colbert,Sunflower Seed,Pound,1126.33,0.2,1750,0.28,2022
01033,Alabama,Colbert,Wheat,Bushel,73.27,5.5,69.34,8.83,2022
01035,Alabama,Conecuh,Canola,Pound,1495.00,0.2,1238,0.3,2022
01035,Alabama,Conecuh,Corn,Bushel,109.50,3.7,102.43,6.54,2022
01035,Alabama,Conecuh,Grain Sorghum,Bushel,45.67,3.95,41.1,5.94,2022
01035,Alabama,Conecuh,Oats,Bushel,46.93,2.67,62,4.57,2022
01035,Alabama,Conecuh,Soybeans,Bushel,31.87,9.12,45,14.2,2022
01035,Alabama,Conecuh,Wheat,Bushel,54.53,5.5,45,8.83,2022
01039,Alabama,Covington,Corn,Bushel,94.00,3.7,79.77,6.54,2022
01039,Alabama,Covington,Grain Sorghum,Bushel,44.27,3.95,41.1,5.94,2022
01039,Alabama,Covington,Oats,Bushel,45.47,2.67,62,4.57,2022
01039,Alabama,Covington,Soybeans,Bushel,35.14,9.12,27.92,14.2,2022
01039,Alabama,Covington,Wheat,Bushel,45.60,5.5,45,8.83,2022
01041,Alabama,Crenshaw,Corn,Bushel,116.15,3.7,68.44,6.54,2022
01041,Alabama,Crenshaw,Grain Sorghum,Bushel,43.40,3.95,41.1,5.94,2022
01041,Alabama,Crenshaw,Oats,Bushel,51.93,2.67,62,4.57,2022
01041,Alabama,Crenshaw,Peanuts,Pound,2165.07,0.27,2809.81,0.27,2022
01041,Alabama,Crenshaw,Seed Cotton,Pound,1818.55,0.37,1273.63,0.45,2022
01041,Alabama,Crenshaw,Sesame Seed,Pound,462.08,0.35,572,0.41,2022
01041,Alabama,Crenshaw,Soybeans,Bushel,32.04,9.12,41.94,14.2,2022
01041,Alabama,Crenshaw,Wheat,Bushel,38.20,5.5,45,8.83,2022
01043,Alabama,Cullman,Barley,Bushel,45.17,4.95,48,7.4,2022
01043,Alabama,Cullman,Corn,Bushel,177.57,3.7,136.23,6.54,2022
01043,Alabama,Cullman,Grain Sorghum,Bushel,41.00,3.95,41.1,5.94,2022
01043,Alabama,Cullman,Oats,Bushel,60.40,2.67,64,4.57,2022
01043,Alabama,Cullman,Seed Cotton,Pound,2775.12,0.37,3136.99,0.45,2022
01043,Alabama,Cullman,Soybeans,Bushel,49.27,9.12,47.43,14.2,2022
01043,Alabama,Cullman,Wheat,Bushel,71.83,5.5,79,8.83,2022
01045,Alabama,Dale,Corn,Bushel,120.10,3.7,86.2,6.54,2022
01045,Alabama,Dale,Grain Sorghum,Bushel,41.00,3.95,41.1,5.94,2022
01045,Alabama,Dale,Oats,Bushel,43.13,2.67,62,4.57,2022
01045,Alabama,Dale,Seed Cotton,Pound,2999.11,0.37,2740.92,0.45,2022
01045,Alabama,Dale,Seed Cotton,Pound,1762.20,0.37,1996.9,0.45,2022
01045,Alabama,Dale,Soybeans,Bushel,29.41,9.12,39.51,14.2,2022
01045,Alabama,Dale,Wheat,Bushel,35.33,5.5,50,8.83,2022
01047,Alabama,Dallas,Corn,Bushel,137.83,3.7,82.19,6.54,2022
01047,Alabama,Dallas,Grain Sorghum,Bushel,42.33,3.95,41.1,5.94,2022
01047,Alabama,Dallas,Oats,Bushel,44.60,2.67,64,4.57,2022
01047,Alabama,Dallas,Peanuts,Pound,3625.63,0.27,3340.84,0.27,2022
01047,Alabama,Dallas,Seed Cotton,Pound,2365.51,0.37,2628.17,0.45,2022
01047,Alabama,Dallas,Seed Cotton,Pound,1844.16,0.37,1857.31,0.45,2022
01047,Alabama,Dallas,Soybeans,Bushel,38.22,9.12,40.17,14.2,2022
01047,Alabama,Dallas,Wheat,Bushel,40.40,5.5,41.57,8.83,2022
01049,Alabama,DeKalb,Barley,Bushel,48.67,4.95,48,7.4,2022
01049,Alabama,DeKalb,Corn,Bushel,166.63,3.7,147.11,6.54,2022
01049,Alabama,DeKalb,Grain Sorghum,Bushel,42.27,3.95,41.1,5.94,2022
01049,Alabama,DeKalb,Oats,Bushel,57.20,2.67,64,4.57,2022
01049,Alabama,DeKalb,Seed Cotton,Pound,2584.51,0.37,2950.56,0.45,2022
01049,Alabama,DeKalb,Soybeans,Bushel,41.67,9.12,46.83,14.2,2022
01049,Alabama,DeKalb,Wheat,Bushel,66.90,5.5,58.75,8.83,2022
01051,Alabama,Elmore,Corn,Bushel,173.05,3.7,120.84,6.54,2022
01051,Alabama,Elmore,Grain Sorghum,Bushel,40.67,3.95,41.1,5.94,2022
01051,Alabama,Elmore,Oats,Bushel,47.67,2.67,64,4.57,2022
01051,Alabama,Elmore,Seed Cotton,Pound,1921.22,0.37,2125.37,0.45,2022
01051,Alabama,Elmore,Soybeans,Bushel,30.31,9.12,48.09,14.2,2022
01051,Alabama,Elmore,Wheat,Bushel,42.70,5.5,72,8.83,2022
01053,Alabama,Escambia,Corn,Bushel,188.02,3.7,192.57,6.54,2022
01053,Alabama,Escambia,Corn,Bushel,166.98,3.7,100.74,6.54,2022
01053,Alabama,Escambia,Oats,Bushel,48.80,2.67,61,4.57,2022
01053,Alabama,Escambia,Soybeans,Bushel,41.65,9.12,51.11,14.2,2022
01053,Alabama,Escambia,Wheat,Bushel,50.33,5.5,54,8.83,2022
01055,Alabama,Etowah,Corn,Bushel,150.55,3.7,134.27,6.54,2022
01055,Alabama,Etowah,Grain Sorghum,Bushel,43.67,3.95,41.1,5.94,2022
01055,Alabama,Etowah,Oats,Bushel,52.00,2.67,64,4.57,2022
01055,Alabama,Etowah,Seed Cotton,Pound,2326.37,0.37,2796.62,0.45,2022
01055,Alabama,Etowah,Soybeans,Bushel,38.90,9.12,38.31,14.2,2022
01055,Alabama,Etowah,Wheat,Bushel,61.33,5.5,65,8.83,2022
01057,Alabama,Fayette,Corn,Bushel,125.32,3.7,73.03,6.54,2022
01057,Alabama,Fayette,Grain Sorghum,Bushel,44.93,3.95,41.1,5.94,2022
01057,Alabama,Fayette,Oats,Bushel,46.60,2.67,64,4.57,2022
01057,Alabama,Fayette,Seed Cotton,Pound,2172.26,0.37,2443.99,0.45,2022
01057,Alabama,Fayette,Soybeans,Bushel,22.69,9.12,36.27,14.2,2022
01057,Alabama,Fayette,Wheat,Bushel,58.60,5.5,72,8.83,2022
01059,Alabama,Franklin,Corn,Bushel,137.15,3.7,94.56,6.54,2022
01059,Alabama,Franklin,Grain Sorghum,Bushel,55.00,3.95,41.1,5.94,2022
01059,Alabama,Franklin,Oats,Bushel,47.67,2.67,64,4.57,2022
01059,Alabama,Franklin,Seed Cotton,Pound,2372.52,0.37,2113.85,0.45,2022
01059,Alabama,Franklin,Soybeans,Bushel,38.30,9.12,38.37,14.2,2022
01059,Alabama,Franklin,Wheat,Bushel,70.31,5.5,72,8.83,2022
01061,Alabama,Geneva,Corn,Bushel,193.25,3.7,199.8,6.54,2022
01061,Alabama,Geneva,Corn,Bushel,107.01,3.7,77.45,6.54,2022
01061,Alabama,Geneva,Grain Sorghum,Bushel,38.20,3.95,41.1,5.94,2022
01061,Alabama,Geneva,Oats,Bushel,45.40,2.67,64,4.57,2022
01061,Alabama,Geneva,Seed Cotton,Pound,2612.74,0.37,2634,0.45,2022
01061,Alabama,Geneva,Seed Cotton,Pound,1617.31,0.37,1611.24,0.45,2022
01061,Alabama,Geneva,Soybeans,Bushel,28.66,9.12,25.62,14.2,2022
01061,Alabama,Geneva,Sunflower Seed,Pound,1101.00,0.2,1750,0.28,2022
01061,Alabama,Geneva,Wheat,Bushel,30.67,5.5,50,8.83,2022
01063,Alabama,Greene,Corn,Bushel,128.61,3.7,145,6.54,2022
01063,Alabama,Greene,Grain Sorghum,Bushel,39.67,3.95,41.1,5.94,2022
01063,Alabama,Greene,Oats,Bushel,50.00,2.67,64,4.57,2022
01063,Alabama,Greene,Seed Cotton,Pound,2195.74,0.37,2014.01,0.45,2022
01063,Alabama,Greene,Soybeans,Bushel,17.87,9.12,47,14.2,2022
01063,Alabama,Greene,Wheat,Bushel,48.17,5.5,72,8.83,2022
01065,Alabama,Hale,Corn,Bushel,152.27,3.7,80,6.54,2022
01065,Alabama,Hale,Grain Sorghum,Bushel,40.33,3.95,41.1,5.94,2022
01065,Alabama,Hale,Seed Cotton,Pound,1949.93,0.37,1930.99,0.45,2022
01065,Alabama,Hale,Soybeans,Bushel,34.08,9.12,49.23,14.2,2022
01065,Alabama,Hale,Wheat,Bushel,47.93,5.5,72,8.83,2022
01067,Alabama,Henry,Corn,Bushel,176.33,3.7,171.19,6.54,2022
01067,Alabama,Henry,Corn,Bushel,81.13,3.7,50.79,6.54,2022
01067,Alabama,Henry,Grain Sorghum,Bushel,34.53,3.95,37.57,5.94,2022
01067,Alabama,Henry,Oats,Bushel,42.27,2.67,72,4.57,2022
01067,Alabama,Henry,Seed Cotton,Pound,2512.61,0.37,2905.97,0.45,2022
01067,Alabama,Henry,Seed Cotton,Pound,1544.21,0.37,1763.66,0.45,2022
01067,Alabama,Henry,Soybeans,Bushel,30.17,9.12,39.51,14.2,2022
01067,Alabama,Henry,Wheat,Bushel,30.27,5.5,50,8.83,2022
01069,Alabama,Houston,Corn,Bushel,198.57,3.7,189.97,6.54,2022
01069,Alabama,Houston,Corn,Bushel,93.83,3.7,44.7,6.54,2022
01069,Alabama,Houston,Grain Sorghum,Bushel,44.20,3.95,41.1,5.94,2022
01069,Alabama,Houston,Oats,Bushel,42.67,2.67,72,4.57,2022
01069,Alabama,Houston,Seed Cotton,Pound,2542.30,0.37,2657.18,0.45,2022
01069,Alabama,Houston,Seed Cotton,Pound,1574.40,0.37,1777.46,0.45,2022
01069,Alabama,Houston,Soybeans,Bushel,24.49,9.12,24.97,14.2,2022
01069,Alabama,Houston,Wheat,Bushel,36.20,5.5,52,8.83,2022
01071,Alabama,Jackson,Barley,Bushel,45.50,4.95,48,7.4,2022
01071,Alabama,Jackson,Corn,Bushel,146.85,3.7,130.16,6.54,2022
01071,Alabama,Jackson,Grain Sorghum,Bushel,47.40,3.95,41.1,5.94,2022
01071,Alabama,Jackson,Oats,Bushel,54.00,2.67,64,4.57,2022
01071,Alabama,Jackson,Seed Cotton,Pound,2838.62,0.37,2911.49,0.45,2022
01071,Alabama,Jackson,Soybeans,Bushel,36.66,9.12,39.3,14.2,2022
01071,Alabama,Jackson,Wheat,Bushel,69.11,5.5,69.37,8.83,2022
01073,Alabama,Jefferson,Corn,Bushel,126.67,3.7,97,6.54,2022
01075,Alabama,Lamar,Corn,Bushel,129.60,3.7,120,6.54,2022
01075,Alabama,Lamar,Grain Sorghum,Bushel,43.67,3.95,41.1,5.94,2022
01075,Alabama,Lamar,Seed Cotton,Pound,2417.74,0.37,2239.99,0.45,2022
01075,Alabama,Lamar,Soybeans,Bushel,28.77,9.12,44,14.2,2022
01075,Alabama,Lamar,Wheat,Bushel,56.58,5.5,50,8.83,2022
01077,Alabama,Lauderdale,Barley,Bushel,50.83,4.95,53,7.4,2022
01077,Alabama,Lauderdale,Corn,Bushel,181.76,3.7,90.44,6.54,2022
01077,Alabama,Lauderdale,Grain Sorghum,Bushel,60.33,3.95,41.1,5.94,2022
01077,Alabama,Lauderdale,Oats,Bushel,44.00,2.67,64,4.57,2022
01077,Alabama,Lauderdale,Seed Cotton,Pound,2758.75,0.37,2999.95,0.45,2022
01077,Alabama,Lauderdale,Soybeans,Bushel,42.69,9.12,43.22,14.2,2022
01077,Alabama,Lauderdale,Sunflower Seed,Pound,1139.33,0.2,1750,0.28,2022
01077,Alabama,Lauderdale,Wheat,Bushel,77.26,5.5,79.16,8.83,2022
01079,Alabama,Lawrence,Barley,Bushel,45.50,4.95,49,7.4,2022
01079,Alabama,Lawrence,Canola,Pound,1473.00,0.2,1379,0.3,2022
01079,Alabama,Lawrence,Corn,Bushel,220.35,3.7,161.5,6.54,2022
01079,Alabama,Lawrence,Corn,Bushel,177.16,3.7,87.5,6.54,2022
01079,Alabama,Lawrence,Grain Sorghum,Bushel,51.87,3.95,41.1,5.94,2022
01079,Alabama,Lawrence,Oats,Bushel,43.33,2.67,64,4.57,2022
01079,Alabama,Lawrence,Seed Cotton,Pound,2586.53,0.37,2394.7,0.45,2022
01079,Alabama,Lawrence,Soybeans,Bushel,57.34,9.12,44.05,14.2,2022
01079,Alabama,Lawrence,Soybeans,Bushel,41.24,9.12,38.71,14.2,2022
01079,Alabama,Lawrence,Sunflower Seed,Pound,1101.00,0.2,1750,0.28,2022
01079,Alabama,Lawrence,Wheat,Bushel,74.31,5.5,80.15,8.83,2022
01081,Alabama,Lee,Corn,Bushel,120.90,3.7,128,6.54,2022
01081,Alabama,Lee,Grain Sorghum,Bushel,46.53,3.95,41.1,5.94,2022
01081,Alabama,Lee,Oats,Bushel,52.07,2.67,64,4.57,2022
01081,Alabama,Lee,Soybeans,Bushel,33.97,9.12,39.51,14.2,2022
01081,Alabama,Lee,Wheat,Bushel,44.87,5.5,72,8.83,2022
01083,Alabama,Limestone,Barley,Bushel,45.20,4.95,44,7.4,2022
01083,Alabama,Limestone,Canola,Pound,2209.33,0.2,2155,0.3,2022
01083,Alabama,Limestone,Corn,Bushel,236.08,3.7,208.53,6.54,2022
01083,Alabama,Limestone,Corn,Bushel,175.32,3.7,91.05,6.54,2022
01083,Alabama,Limestone,Grain Sorghum,Bushel,55.27,3.95,41.1,5.94,2022
01083,Alabama,Limestone,Oats,Bushel,44.33,2.67,64,4.57,2022
01083,Alabama,Limestone,Seed Cotton,Pound,3477.53,0.37,4394.64,0.45,2022
01083,Alabama,Limestone,Seed Cotton,Pound,2729.45,0.37,2515.34,0.45,2022
01083,Alabama,Limestone,Soybeans,Bushel,64.13,9.12,57.6,14.2,2022
01083,Alabama,Limestone,Soybeans,Bushel,39.91,9.12,32.87,14.2,2022
01083,Alabama,Limestone,Sunflower Seed,Pound,1101.00,0.2,1750,0.28,2022
01083,Alabama,Limestone,Wheat,Bushel,86.14,5.5,85.33,8.83,2022
01083,Alabama,Limestone,Wheat,Bushel,75.31,5.5,73.78,8.83,2022
01085,Alabama,Lowndes,Corn,Bushel,140.79,3.7,65.57,6.54,2022
01085,Alabama,Lowndes,Oats,Bushel,50.00,2.67,64,4.57,2022
01085,Alabama,Lowndes,Peanuts,Pound,2986.67,0.27,3222,0.27,2022
01085,Alabama,Lowndes,Seed Cotton,Pound,2114.45,0.37,1584.17,0.45,2022
01085,Alabama,Lowndes,Soybeans,Bushel,31.24,9.12,42.48,14.2,2022
01085,Alabama,Lowndes,Wheat,Bushel,43.67,5.5,42,8.83,2022
01087,Alabama,Macon,Corn,Bushel,167.17,3.7,146.66,6.54,2022
01087,Alabama,Macon,Grain Sorghum,Bushel,40.20,3.95,41.1,5.94,2022
01087,Alabama,Macon,Oats,Bushel,52.60,2.67,64,4.57,2022
01087,Alabama,Macon,Seed Cotton,Pound,2034.31,0.37,1703.47,0.45,2022
01087,Alabama,Macon,Soybeans,Bushel,34.38,9.12,13.37,14.2,2022
01087,Alabama,Macon,Wheat,Bushel,42.37,5.5,72,8.83,2022
01089,Alabama,Madison,Barley,Bushel,45.33,4.95,46,7.4,2022
01089,Alabama,Madison,Canola,Pound,1495.00,0.2,1517,0.3,2022
01089,Alabama,Madison,Corn,Bushel,237.53,3.7,201.17,6.54,2022
01089,Alabama,Madison,Corn,Bushel,173.23,3.7,119.78,6.54,2022
01089,Alabama,Madison,Grain Sorghum,Bushel,50.87,3.95,41.1,5.94,2022
01089,Alabama,Madison,Oats,Bushel,44.33,2.67,64,4.57,2022
01089,Alabama,Madison,Seed Cotton,Pound,3520.51,0.37,3304.99,0.45,2022
01089,Alabama,Madison,Seed Cotton,Pound,2516.83,0.37,2467.3,0.45,2022
01089,Alabama,Madison,Soybeans,Bushel,58.41,9.12,62.91,14.2,2022
01089,Alabama,Madison,Soybeans,Bushel,41.12,9.12,43.3,14.2,2022
01089,Alabama,Madison,Wheat,Bushel,75.84,5.5,72.85,8.83,2022
01091,Alabama,Marengo,Corn,Bushel,122.56,3.7,60.43,6.54,2022
01091,Alabama,Marengo,Grain Sorghum,Bushel,40.00,3.95,41.1,5.94,2022
01091,Alabama,Marengo,Soybeans,Bushel,18.61,9.12,32.77,14.2,2022
01091,Alabama,Marengo,Wheat,Bushel,43.00,5.5,42,8.83,2022
01093,Alabama,Marion,Corn,Bushel,160.62,3.7,120.11,6.54,2022
01093,Alabama,Marion,Grain Sorghum,Bushel,47.53,3.95,41.1,5.94,2022
01093,Alabama,Marion,Seed Cotton,Pound,2454.55,0.37,2749.06,0.45,2022
01093,Alabama,Marion,Soybeans,Bushel,43.40,9.12,45.36,14.2,2022
01093,Alabama,Marion,Sunflower Seed,Pound,1101.00,0.2,1750,0.28,2022
01093,Alabama,Marion,Wheat,Bushel,57.60,5.5,53,8.83,2022
01095,Alabama,Marshall,Barley,Bushel,45.50,4.95,48,7.4,2022
01095,Alabama,Marshall,Corn,Bushel,160.30,3.7,124.55,6.54,2022
01095,Alabama,Marshall,Grain Sorghum,Bushel,42.27,3.95,41.1,5.94,2022
01095,Alabama,Marshall,Oats,Bushel,57.20,2.67,64,4.57,2022
01095,Alabama,Marshall,Seed Cotton,Pound,2701.06,0.37,2836.01,0.45,2022
01095,Alabama,Marshall,Soybeans,Bushel,40.50,9.12,44.77,14.2,2022
01095,Alabama,Marshall,Wheat,Bushel,71.35,5.5,73.49,8.83,2022
01099,Alabama,Monroe,Corn,Bushel,141.77,3.7,147.5,6.54,2022
01099,Alabama,Monroe,Grain Sorghum,Bushel,43.33,3.95,41.1,5.94,2022
01099,Alabama,Monroe,Oats,Bushel,49.93,2.67,64,4.57,2022
01099,Alabama,Monroe,Soybeans,Bushel,37.98,9.12,47.95,14.2,2022
01099,Alabama,Monroe,Wheat,Bushel,53.00,5.5,52.04,8.83,2022
01101,Alabama,Montgomery,Barley,Bushel,45.50,4.95,48,7.4,2022
01101,Alabama,Montgomery,Corn,Bushel,143.49,3.7,83.23,6.54,2022
01101,Alabama,Montgomery,Grain Sorghum,Bushel,40.33,3.95,41.1,5.94,2022
01101,Alabama,Montgomery,Oats,Bushel,45.33,2.67,64,4.57,2022
01101,Alabama,Montgomery,Seed Cotton,Pound,2060.14,0.37,1492.37,0.45,2022
01101,Alabama,Montgomery,Soybeans,Bushel,30.97,9.12,26.25,14.2,2022
01101,Alabama,Montgomery,Wheat,Bushel,43.43,5.5,72,8.83,2022
01103,Alabama,Morgan,Barley,Bushel,45.50,4.95,48,7.4,2022
01103,Alabama,Morgan,Canola,Pound,1483.00,0.2,1505,0.3,2022
01103,Alabama,Morgan,Corn,Bushel,166.55,3.7,93.28,6.54,2022
01103,Alabama,Morgan,Grain Sorghum,Bushel,47.67,3.95,41.1,5.94,2022
01103,Alabama,Morgan,Oats,Bushel,43.33,2.67,64,4.57,2022
01103,Alabama,Morgan,Seed Cotton,Pound,2231.18,0.37,2499.43,0.45,2022
01103,Alabama,Morgan,Soybeans,Bushel,40.44,9.12,35.86,14.2,2022
01103,Alabama,Morgan,Sunflower Seed,Pound,1101.00,0.2,1750,0.28,2022
01103,Alabama,Morgan,Wheat,Bushel,75.06,5.5,80.82,8.83,2022
01105,Alabama,Perry,Corn,Bushel,120.11,3.7,89.17,6.54,2022
01105,Alabama,Perry,Grain Sorghum,Bushel,39.67,3.95,41.1,5.94,2022
01105,Alabama,Perry,Oats,Bushel,49.87,2.67,64,4.57,2022
01105,Alabama,Perry,Seed Cotton,Pound,2066.88,0.37,1778.45,0.45,2022
01105,Alabama,Perry,Soybeans,Bushel,42.26,9.12,32.84,14.2,2022
01105,Alabama,Perry,Wheat,Bushel,39.33,5.5,42,8.83,2022
01107,Alabama,Pickens,Corn,Bushel,194.96,3.7,178.23,6.54,2022
01107,Alabama,Pickens,Grain Sorghum,Bushel,39.67,3.95,41.1,5.94,2022
